Contents,コンテンツ,Contents
URL,URL,URL
Category,カテゴリー,Category
Tag,タグ,Tag
Post time,投稿日時,Post time
Date,日付,Date
Time,時間,Time
Start date,開始日時,Start date
End date,終了日時,End date
Choices,選択肢,Choices
Required,必須,Required
Optional,任意,Optional
Type,タイプ,Type
Mode,モード,Mode
#Location,,
Location service not available. The platform may not be supported or it may be disabled in the settings. please confirm.,位置情報サービスが使用できません。プラットフォームが対応していないか設定で無効化されている場合があります。ご確認ください。,Location service not available. The platform may not be supported or it may be disabled in the settings. please confirm.
You are not authorized to use the location information service. Check the permission settings.,位置情報サービスの権限がありません。パーミッションの設定を確認してください。,You are not authorized to use the location information service. Check the permission settings.
#Error,,
No data.,データがありません。,No data.
No %s.,%sがありません。,No %s.
Unknown error.,不明なエラーです。,Unknown error.
Invalid error.,不正な処理です。,Invalid error.
Please enter some text,なにか文字を入力してください,Please enter some text
Timed out.,タイムアウトしました。,Timed out.
Unable to connect to the network.,ネットワークに接続できません。,Unable to connect to the network.
Unable to connect to the network. Application is quit.,ネットワークに接続できません。アプリを終了します。,Unable to connect to the network. Application is quit.
You could not log in because the communication environment was bad. Please try again.,通信環境が悪いためログインが完了しませんでした。リトライしてください。,You could not log in because the communication environment was bad. Please try again.
Initialization failed. Application is quit.,初期化に失敗しました。アプリを終了します。,Initialization failed. Application is quit.
The login process could not be performed. Please try again.,ログインが完了しませんでした。リトライしてください。,The login process could not be performed. Please try again.
Please input at least %s characters.,%s文字以上入力してください。,Please input at least %s characters.
The end date and time must be a time after the start date and time.,終了日時は開始日時より後の時間を指定してください。,The end date and time must be a time after the start date and time.
#Module,,
Question,設問,Question
Answer,回答,Answer
Already responding,回答済み,Already responding
Deadline %s,アンケート期限 %s,Deadline %s
Question No.%s,設問 No.%s,Question No.%s
List of %s answers,%sの回答一覧,List of %s answers
%s answers,%sの回答,%s answers
The question is empty. Please set a new question by clicking the 'Add New' button.,設問は空です。新規追加ボタンから新しく設問を設定してください。,The question is empty. Please set a new question by clicking the 'Add New' button.
The question has not been set yet. Please wait for a while until the question is set.,まだ設問が設定されていません。設問が設定されるまでしばらくお待ち下さい。,The question has not been set yet. Please wait for a while until the question is set.
An invitation email will be sent to the email address you entered. You can complete the invitation by clicking the link in the invitation email.,入力したメールアドレスに招待メールが届きます。招待メールに記載されたリンクをクリックしていただくことで招待が完了します。,An invitation email will be sent to the email address you entered. You can complete the invitation by clicking the link in the invitation email.
#Apps,,
